feature,r_u,r_v,r_p,r_speed,r_abs_max,best_field
20,-0.0203,0.0330,0.7728,-0.0004,0.7728,r_p
50,-0.0201,0.0327,0.7725,-0.0002,0.7725,r_p
339,0.7277,-0.0922,-0.2998,0.7470,0.7470,r_speed
665,-0.6976,-0.0143,0.1502,-0.7227,0.7227,r_speed
954,0.6163,0.0739,-0.0694,0.6395,0.6395,r_speed
63,0.6182,0.0300,-0.2562,0.6354,0.6354,r_speed
690,-0.5871,-0.0470,-0.0525,-0.6351,0.6351,r_speed
750,0.5753,0.2459,0.0734,0.6085,0.6085,r_speed
603,0.5876,-0.0437,-0.3370,0.6083,0.6083,r_speed
722,-0.5239,-0.0575,0.1099,-0.5743,0.5743,r_speed
76,0.5541,-0.0265,-0.3154,0.5608,0.5608,r_speed
813,-0.0053,0.0502,0.5605,0.0205,0.5605,r_p
131,0.1399,-0.1110,0.5495,0.1793,0.5495,r_p
483,0.5050,0.3910,0.0976,0.5276,0.5276,r_speed
560,0.5193,-0.0261,-0.3444,0.5269,0.5269,r_speed
303,0.5078,0.2042,-0.2456,0.5268,0.5268,r_speed
791,-0.4802,-0.0390,-0.1208,-0.5160,0.5160,r_speed
854,0.1342,-0.5103,0.0613,0.2102,0.5103,r_v
640,-0.4621,-0.0355,0.2759,-0.5003,0.5003,r_speed
592,0.3129,0.1226,-0.4961,0.3340,0.4961,r_p
156,0.0750,0.0759,-0.4703,0.1534,0.4703,r_p
51,-0.1099,0.0102,-0.4640,-0.1116,0.4640,r_p
84,0.2594,-0.0656,-0.4615,0.3221,0.4615,r_p
816,-0.1421,0.0033,0.4605,-0.1439,0.4605,r_p
530,-0.2028,-0.0326,-0.4528,-0.1777,0.4528,r_p
772,-0.1050,-0.0518,-0.4526,-0.0767,0.4526,r_p
379,-0.4330,-0.0013,-0.0079,-0.4516,0.4516,r_speed
241,0.2109,0.3654,0.4478,0.2328,0.4478,r_p
389,-0.4272,-0.0015,0.1071,-0.4478,0.4478,r_speed
230,0.2712,-0.1291,-0.4468,0.3159,0.4468,r_p
263,-0.4282,-0.0033,0.2042,-0.4462,0.4462,r_speed
377,-0.0814,-0.0201,0.4451,-0.0754,0.4451,r_p
842,-0.4251,-0.0024,-0.0630,-0.4441,0.4441,r_speed
113,-0.0967,0.0882,0.4439,-0.1040,0.4439,r_p
395,0.4199,0.1542,0.1015,0.4430,0.4430,r_speed
768,0.1132,0.0540,0.4414,0.1334,0.4414,r_p
788,-0.4237,-0.0013,0.0848,-0.4402,0.4402,r_speed
702,0.1713,0.1060,-0.4401,0.2128,0.4401,r_p
414,-0.3849,0.0142,0.4395,-0.4018,0.4395,r_p
250,0.0881,0.1388,0.4376,0.1041,0.4376,r_p
565,-0.0554,-0.1362,-0.4346,-0.0084,0.4346,r_p
941,0.3044,-0.0990,-0.4323,0.3225,0.4323,r_p
753,-0.2196,0.0237,0.4303,-0.2288,0.4303,r_p
72,-0.0577,-0.1331,-0.4288,-0.0096,0.4288,r_p
382,-0.4121,-0.0081,-0.0287,-0.4267,0.4267,r_speed
662,0.1482,0.2340,0.4247,0.1841,0.4247,r_p
675,0.2353,0.0066,-0.4215,0.2400,0.4215,r_p
193,0.3365,-0.0566,-0.4164,0.3579,0.4164,r_p
298,-0.0484,0.1102,0.4152,-0.0104,0.4152,r_p
716,-0.3959,-0.0004,-0.0377,-0.4117,0.4117,r_speed
118,-0.3893,-0.0007,0.0130,-0.4029,0.4029,r_speed
397,0.0207,-0.0462,0.3997,0.0310,0.3997,r_p
435,-0.3809,0.0604,0.3426,-0.3965,0.3965,r_speed
39,0.3713,-0.0555,-0.1449,0.3953,0.3953,r_speed
754,0.3101,0.0488,-0.3943,0.3324,0.3943,r_p
457,0.2889,0.3930,0.3407,0.3170,0.3930,r_v
536,-0.3768,-0.0022,0.0835,-0.3929,0.3929,r_speed
296,-0.1988,0.0557,0.3916,-0.2081,0.3916,r_p
239,-0.3907,0.0468,0.0355,-0.3846,0.3907,r_u
731,-0.3677,-0.0129,-0.0081,-0.3896,0.3896,r_speed
123,0.3529,-0.1029,-0.2579,0.3880,0.3880,r_speed
12,-0.3706,-0.0201,0.0178,-0.3865,0.3865,r_speed
953,0.3761,0.0898,0.0376,0.3857,0.3857,r_speed
369,-0.0113,0.0683,-0.3798,0.0183,0.3798,r_p
866,-0.1596,0.0059,-0.3763,-0.1003,0.3763,r_p
704,0.1882,-0.0623,0.3717,0.2133,0.3717,r_p
185,-0.3452,-0.0844,-0.1042,-0.3696,0.3696,r_speed
834,0.0862,-0.1560,-0.3679,0.1188,0.3679,r_p
345,0.3649,-0.0901,-0.1931,0.3648,0.3649,r_u
780,-0.3397,-0.0028,0.1583,-0.3545,0.3545,r_speed
200,-0.3399,-0.0018,0.1451,-0.3535,0.3535,r_speed
967,-0.3391,-0.0008,0.0891,-0.3533,0.3533,r_speed
288,0.3528,0.0695,0.1912,0.3360,0.3528,r_u
519,-0.3360,-0.0012,0.0765,-0.3508,0.3508,r_speed
177,-0.3324,-0.0016,-0.0362,-0.3507,0.3507,r_speed
235,0.3334,-0.1542,-0.0116,0.3505,0.3505,r_speed
82,-0.0445,0.1621,0.3496,-0.0191,0.3496,r_p
700,0.0638,0.0766,0.3495,0.1160,0.3495,r_p
959,0.0523,0.0308,-0.3484,0.0492,0.3484,r_p
371,0.3200,-0.0973,0.0625,0.3461,0.3461,r_speed
523,0.3291,0.1932,0.1693,0.3460,0.3460,r_speed
800,0.3180,0.0197,-0.3450,0.3332,0.3450,r_p
514,-0.3286,-0.0006,0.0952,-0.3435,0.3435,r_speed
1019,0.1014,0.1349,0.3434,0.0837,0.3434,r_p
498,0.0868,0.1151,0.3429,0.0806,0.3429,r_p
664,-0.3289,-0.0008,-0.0264,-0.3428,0.3428,r_speed
67,-0.3279,-0.0004,-0.0280,-0.3408,0.3408,r_speed
1006,0.2776,-0.1035,-0.3389,0.2770,0.3389,r_p
433,0.2399,-0.0710,0.3385,0.2650,0.3385,r_p
719,0.1640,-0.3150,0.3372,0.2008,0.3372,r_p
624,0.1565,-0.3367,-0.0643,0.1875,0.3367,r_v
242,0.3359,-0.0115,-0.1366,0.3146,0.3359,r_u
532,-0.1083,-0.0267,0.3358,-0.1136,0.3358,r_p
919,0.0491,-0.0684,-0.3350,0.0445,0.3350,r_p
383,0.2297,-0.0297,-0.3341,0.2676,0.3341,r_p
294,-0.3181,-0.0045,-0.0343,-0.3325,0.3325,r_speed
102,-0.3088,-0.0150,0.3068,-0.3315,0.3315,r_speed
396,-0.3157,-0.0027,0.0452,-0.3310,0.3310,r_speed
1009,0.0061,-0.0879,-0.3298,0.0076,0.3298,r_p
75,-0.3168,-0.0006,-0.0052,-0.3283,0.3283,r_speed
254,-0.3134,-0.0014,0.1210,-0.3282,0.3282,r_speed
195,-0.3139,-0.0012,0.0105,-0.3282,0.3282,r_speed
694,-0.3111,-0.0005,0.0094,-0.3267,0.3267,r_speed
480,-0.3106,-0.0007,0.0723,-0.3266,0.3266,r_speed
809,-0.3128,-0.0008,-0.0265,-0.3260,0.3260,r_speed
625,0.3133,0.3145,-0.0547,0.3257,0.3257,r_speed
57,-0.2981,-0.0301,-0.2107,-0.3256,0.3256,r_speed
452,-0.3124,-0.0022,0.1395,-0.3253,0.3253,r_speed
425,-0.0083,0.1576,0.3245,0.0011,0.3245,r_p
839,0.0955,-0.0780,-0.3242,0.1139,0.3242,r_p
358,0.2514,-0.2542,0.3232,0.3011,0.3232,r_p
667,0.3165,-0.0061,0.0517,0.3225,0.3225,r_speed
444,-0.3090,-0.0009,0.0775,-0.3219,0.3219,r_speed
171,-0.3047,-0.0013,-0.0378,-0.3200,0.3200,r_speed
218,-0.3042,-0.0007,0.0932,-0.3152,0.3152,r_speed
48,0.0295,-0.1572,-0.3140,0.0523,0.3140,r_p
608,-0.3009,-0.0014,0.0833,-0.3134,0.3134,r_speed
992,-0.3008,-0.0006,-0.0317,-0.3130,0.3130,r_speed
968,0.2846,0.3100,-0.0730,0.3128,0.3128,r_speed
166,-0.2977,-0.0035,0.1611,-0.3110,0.3110,r_speed
212,-0.2545,-0.0614,0.0332,-0.3107,0.3107,r_speed
260,-0.2982,-0.0025,0.0037,-0.3101,0.3101,r_speed
27,0.2919,0.1525,-0.2096,0.3096,0.3096,r_speed
850,0.3086,0.0308,-0.0057,0.3033,0.3086,r_u
831,0.3080,-0.1183,-0.1930,0.3025,0.3080,r_u
456,-0.2908,-0.0368,0.1609,-0.3072,0.3072,r_speed
120,-0.3019,-0.0457,-0.2650,-0.3069,0.3069,r_speed
674,-0.0653,0.0143,-0.3066,-0.0477,0.3066,r_p
614,0.2517,0.0214,-0.1284,0.3044,0.3044,r_speed
934,-0.2915,-0.0011,0.0325,-0.3037,0.3037,r_speed
651,-0.2914,-0.0008,0.0162,-0.3036,0.3036,r_speed
984,0.1252,0.1435,0.3036,0.1467,0.3036,r_p
843,-0.2880,0.0003,0.0925,-0.3009,0.3009,r_speed
372,0.2840,0.0260,0.1034,0.3009,0.3009,r_speed
942,-0.2881,-0.0023,0.1732,-0.3005,0.3005,r_speed
108,-0.2868,-0.0003,0.1526,-0.3003,0.3003,r_speed
155,0.2848,-0.0074,-0.2323,0.2991,0.2991,r_speed
326,-0.2873,-0.0007,0.0205,-0.2990,0.2990,r_speed
604,0.2798,0.1633,0.0246,0.2986,0.2986,r_speed
359,0.2816,0.0273,0.1548,0.2983,0.2983,r_speed
947,-0.2961,-0.0585,-0.1946,-0.2981,0.2981,r_speed
699,-0.2788,-0.0020,-0.0368,-0.2967,0.2967,r_speed
183,-0.2839,-0.0005,0.1251,-0.2954,0.2954,r_speed
486,-0.2824,-0.0014,0.0807,-0.2950,0.2950,r_speed
459,-0.0471,0.0645,-0.2941,-0.0184,0.2941,r_p
861,0.2843,0.1246,0.1140,0.2937,0.2937,r_speed
900,0.2021,0.0722,0.2933,0.1875,0.2933,r_p
770,-0.2802,-0.0005,0.0061,-0.2919,0.2919,r_speed
137,0.1487,-0.0052,-0.2916,0.1459,0.2916,r_p
639,-0.1940,-0.0415,0.2916,-0.2068,0.2916,r_p
147,-0.2800,-0.0011,0.0778,-0.2916,0.2916,r_speed
492,0.2050,-0.1431,-0.2914,0.2365,0.2914,r_p
830,-0.2775,-0.0036,-0.0351,-0.2904,0.2904,r_speed
308,-0.0627,-0.0018,-0.2904,-0.0721,0.2904,r_p
583,0.2609,0.0399,-0.1532,0.2903,0.2903,r_speed
736,-0.2799,-0.0009,0.0034,-0.2897,0.2897,r_speed
225,-0.2783,-0.0013,0.1374,-0.2897,0.2897,r_speed
461,-0.2765,-0.0012,-0.0141,-0.2879,0.2879,r_speed
445,0.2364,0.1506,-0.1146,0.2878,0.2878,r_speed
767,-0.2750,-0.0015,0.1009,-0.2875,0.2875,r_speed
857,0.2208,0.0417,0.2875,0.2428,0.2875,r_p
541,-0.2752,-0.0012,0.0464,-0.2870,0.2870,r_speed
912,0.1619,-0.2865,-0.0799,0.1914,0.2865,r_v
711,-0.2725,-0.0005,-0.0299,-0.2861,0.2861,r_speed
545,0.2506,-0.0852,-0.0296,0.2812,0.2812,r_speed
481,0.2319,-0.2810,0.2807,0.2527,0.2810,r_v
964,-0.2585,0.0240,-0.2125,-0.2806,0.2806,r_speed
563,-0.2685,-0.0010,0.0548,-0.2795,0.2795,r_speed
322,-0.2679,-0.0030,0.1902,-0.2791,0.2791,r_speed
755,-0.2623,-0.0941,0.0521,-0.2788,0.2788,r_speed
484,-0.2672,-0.0012,0.0774,-0.2787,0.2787,r_speed
832,0.2785,-0.1690,-0.0513,0.2779,0.2785,r_u
796,-0.2656,-0.0009,0.0809,-0.2766,0.2766,r_speed
130,0.2719,-0.1575,0.1232,0.2765,0.2765,r_speed
127,0.1863,-0.2759,-0.0293,0.2010,0.2759,r_v
265,-0.2652,-0.0007,0.1365,-0.2756,0.2756,r_speed
761,-0.2638,-0.0011,0.0248,-0.2755,0.2755,r_speed
502,-0.2604,-0.0013,0.0798,-0.2738,0.2738,r_speed
543,-0.1467,0.0752,-0.2733,-0.0470,0.2733,r_p
894,-0.2616,-0.0001,-0.0178,-0.2727,0.2727,r_speed
581,0.2507,-0.0999,0.1671,0.2726,0.2726,r_speed
524,-0.2588,-0.0012,0.0859,-0.2725,0.2725,r_speed
996,-0.2631,-0.0006,-0.0185,-0.2724,0.2724,r_speed
740,-0.2617,-0.0013,0.1745,-0.2721,0.2721,r_speed
163,-0.2572,-0.0006,0.0564,-0.2689,0.2689,r_speed
723,-0.2574,-0.0009,0.0565,-0.2680,0.2680,r_speed
893,0.2254,0.1901,0.0072,0.2680,0.2680,r_speed
922,-0.2622,0.0339,0.0988,-0.2679,0.2679,r_speed
978,-0.0643,0.1006,0.2675,-0.0372,0.2675,r_p
677,-0.2574,-0.0006,-0.0160,-0.2665,0.2665,r_speed
211,-0.2653,0.0335,0.0254,-0.2482,0.2653,r_u
944,-0.2545,-0.0004,0.1290,-0.2652,0.2652,r_speed
24,-0.2525,-0.0015,-0.0245,-0.2647,0.2647,r_speed
782,-0.2527,-0.0007,-0.0193,-0.2644,0.2644,r_speed
650,-0.1879,-0.1598,-0.2642,-0.2100,0.2642,r_p
273,-0.2530,-0.0002,-0.0195,-0.2642,0.2642,r_speed
881,0.2564,0.0306,-0.1107,0.2637,0.2637,r_speed
577,-0.0611,0.0636,0.2636,-0.0620,0.2636,r_p
804,0.0252,0.0914,0.2632,0.0346,0.2632,r_p
803,-0.2519,-0.0003,0.0503,-0.2624,0.2624,r_speed
485,0.1159,0.2618,0.1567,0.1492,0.2618,r_v
1,-0.2511,-0.0010,0.0865,-0.2618,0.2618,r_speed
869,-0.2548,0.0628,0.2546,-0.2617,0.2617,r_speed
173,-0.1267,-0.0252,-0.2616,-0.0593,0.2616,r_p
153,-0.2517,-0.0005,-0.0148,-0.2613,0.2613,r_speed
715,-0.2497,-0.0006,0.0008,-0.2611,0.2611,r_speed
289,0.2597,-0.0356,0.0343,0.2609,0.2609,r_speed
773,0.2596,-0.0546,0.1910,0.2607,0.2607,r_speed
975,0.1140,0.2605,0.1446,0.1479,0.2605,r_v
537,-0.2493,-0.0008,0.0058,-0.2604,0.2604,r_speed
170,-0.2465,-0.0007,-0.0152,-0.2595,0.2595,r_speed
966,-0.2457,-0.0010,0.0138,-0.2592,0.2592,r_speed
415,-0.2474,-0.0000,0.0699,-0.2586,0.2586,r_speed
879,-0.2495,-0.0005,-0.0174,-0.2582,0.2582,r_speed
974,-0.2472,-0.0008,0.0729,-0.2579,0.2579,r_speed
903,-0.1498,0.1589,0.2571,-0.1516,0.2571,r_p
412,-0.2454,-0.0006,0.0028,-0.2569,0.2569,r_speed
976,0.1609,0.0686,0.2561,0.1761,0.2561,r_p
295,-0.2473,-0.0005,-0.0201,-0.2560,0.2560,r_speed
826,0.2554,-0.0537,-0.0165,0.2439,0.2554,r_u
336,-0.2445,-0.0009,0.0727,-0.2546,0.2546,r_speed
872,0.2233,-0.0712,0.1612,0.2536,0.2536,r_speed
468,-0.2437,-0.0006,-0.0165,-0.2532,0.2532,r_speed
551,-0.2432,-0.0007,0.0417,-0.2530,0.2530,r_speed
202,0.0923,0.1186,0.2521,0.1354,0.2521,r_p
219,-0.2469,0.0269,-0.2521,-0.2220,0.2521,r_p
1012,-0.0817,-0.2514,-0.0809,-0.0607,0.2514,r_v
916,-0.2412,-0.0014,0.1080,-0.2514,0.2514,r_speed
645,-0.2409,-0.0006,0.1042,-0.2510,0.2510,r_speed
450,0.1832,-0.2507,0.1353,0.1940,0.2507,r_v
454,-0.2383,-0.0012,-0.0248,-0.2503,0.2503,r_speed
705,0.2098,0.0342,-0.0934,0.2499,0.2499,r_speed
855,-0.2409,-0.0005,-0.0228,-0.2497,0.2497,r_speed
752,-0.2491,-0.0203,-0.0969,-0.2421,0.2491,r_u
874,-0.2375,-0.0010,-0.0033,-0.2478,0.2478,r_speed
275,-0.2374,-0.0005,0.0589,-0.2469,0.2469,r_speed
259,0.0922,0.2467,0.0550,0.1279,0.2467,r_v
269,0.2314,-0.1786,0.0971,0.2463,0.2463,r_speed
317,-0.1054,-0.0380,-0.2449,-0.1077,0.2449,r_p
618,-0.2347,-0.0007,-0.0053,-0.2446,0.2446,r_speed
469,-0.2445,-0.0058,-0.1585,-0.1629,0.2445,r_u
642,-0.2336,-0.0009,-0.0209,-0.2445,0.2445,r_speed
98,-0.2339,-0.0011,0.0592,-0.2437,0.2437,r_speed
591,0.0914,0.2434,-0.0346,0.0968,0.2434,r_v
717,-0.2317,-0.0003,0.0175,-0.2433,0.2433,r_speed
344,-0.2334,-0.0008,0.1094,-0.2433,0.2433,r_speed
658,-0.2317,-0.0009,0.1025,-0.2428,0.2428,r_speed
349,-0.2427,0.0794,0.0237,-0.2307,0.2427,r_u
77,0.2419,0.1193,-0.0106,0.2413,0.2419,r_u
49,-0.2311,-0.0008,0.0184,-0.2415,0.2415,r_speed
194,-0.2298,-0.0008,-0.0234,-0.2413,0.2413,r_speed
993,-0.2306,0.0003,-0.0199,-0.2411,0.2411,r_speed
765,-0.0594,-0.0559,-0.2400,-0.0671,0.2400,r_p
734,-0.2287,-0.0011,0.0531,-0.2387,0.2387,r_speed
500,0.2035,-0.2362,-0.2098,0.2124,0.2362,r_v
763,0.2080,0.1145,0.1643,0.2346,0.2346,r_speed
533,-0.2242,-0.0006,0.0227,-0.2344,0.2344,r_speed
518,0.2340,-0.1491,-0.1586,0.2321,0.2340,r_u
180,-0.0876,0.1711,0.2334,-0.1057,0.2334,r_p
683,-0.2236,-0.0016,0.1236,-0.2333,0.2333,r_speed
105,-0.2246,-0.0008,-0.0096,-0.2329,0.2329,r_speed
264,-0.1365,0.1867,0.2313,-0.1006,0.2313,r_p
691,0.2220,0.1394,-0.0978,0.2308,0.2308,r_speed
522,-0.2214,-0.0009,0.1247,-0.2305,0.2305,r_speed
970,0.1215,0.0834,-0.2303,0.1321,0.2303,r_p
355,-0.2209,-0.0007,-0.0165,-0.2302,0.2302,r_speed
351,0.2008,0.0485,0.0354,0.2295,0.2295,r_speed
