feature,precision,recall,f1,jaccard
652,0.5570,0.2901,0.3815,0.2360
138,0.5541,0.2886,0.3795,0.2346
530,0.5450,0.2838,0.3733,0.2300
772,0.5447,0.2837,0.3731,0.2298
675,0.5220,0.2719,0.3575,0.2183
754,0.5133,0.2673,0.3516,0.2135
614,0.5045,0.2627,0.3455,0.2090
570,0.5005,0.2607,0.3428,0.2075
212,0.4931,0.2568,0.3378,0.2036
565,0.4678,0.2436,0.3204,0.1911
72,0.4659,0.2426,0.3191,0.1902
592,0.4423,0.2304,0.3030,0.1789
349,0.4341,0.2261,0.2973,0.1755
248,0.4233,0.2205,0.2899,0.1698
603,0.4189,0.2182,0.2870,0.1678
63,0.4145,0.2159,0.2839,0.1658
560,0.3800,0.1979,0.2603,0.1499
1006,0.3755,0.1956,0.2572,0.1478
800,0.3713,0.1934,0.2543,0.1459
888,0.3665,0.1909,0.2510,0.1438
76,0.3648,0.1900,0.2498,0.1430
954,0.3522,0.1834,0.2412,0.1374
193,0.3503,0.1824,0.2399,0.1366
656,0.3487,0.1816,0.2388,0.1358
834,0.3458,0.1801,0.2369,0.1345
920,0.3456,0.1800,0.2367,0.1345
485,0.3361,0.1751,0.2302,0.1302
866,0.3350,0.1745,0.2295,0.1299
975,0.3334,0.1736,0.2283,0.1290
979,0.3329,0.1734,0.2280,0.1289
51,0.3292,0.1715,0.2255,0.1275
308,0.3269,0.1702,0.2239,0.1267
569,0.3257,0.1697,0.2231,0.1262
929,0.3237,0.1686,0.2217,0.1248
976,0.3200,0.1667,0.2192,0.1234
650,0.3197,0.1665,0.2190,0.1232
702,0.3182,0.1657,0.2179,0.1225
970,0.3113,0.1621,0.2132,0.1195
305,0.3102,0.1616,0.2125,0.1190
123,0.3100,0.1614,0.2123,0.1189
1009,0.3053,0.1590,0.2091,0.1170
492,0.3046,0.1586,0.2086,0.1166
351,0.3040,0.1584,0.2082,0.1164
941,0.3021,0.1574,0.2069,0.1157
28,0.3020,0.1573,0.2069,0.1159
